[Zone]  ID=ari_gravekeeper_port; dark=True; timeUntilNewDay=23.39987; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Resort4; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pDirt; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pDirt; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pWoodDark; zoneMisc2Palette=zoneDirt; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=bush2; q=1; r=360; x=4; y=2;
[Item] ID=bush2; q=1; r=-360; x=4; y=3;
[Item] ID=grass_tall1; q=1; x=4; y=5;
[Item] ID=grass_mid1; q=1; x=4; y=7;
[Item] ID=bush_huge1; q=1; x=4; y=8;
[Item] ID=grass_tall1; q=1; x=4; y=9;
[Item] ID=grass_mid1; q=1; x=4; y=10;
[Item] ID=grass_tall1; q=1; x=4; y=12;
[Item] ID=grass_tall1; q=1; x=4; y=15;
[Item] ID=grass_mid1; q=1; x=4; y=16;
[Item] ID=grass_mid1; q=1; x=4; y=18;
[Item] ID=grass_mid1; q=1; x=4; y=19;
[Item] ID=grass_tall1; q=1; x=5; y=2;
[Item] ID=grass_tall1; q=1; x=5; y=4;
[Item] ID=bush1; q=1; r=-360; x=5; y=5;
[Item] ID=grass_tall1; q=1; x=5; y=7;
[Item] ID=grass_tall1; q=1; x=5; y=8;
[Item] ID=grass_mid1; q=1; x=5; y=9;
[Item] ID=grass_tall1; q=1; x=5; y=11;
[Item] ID=bush_big1; q=1; x=5; y=12;
[Item] ID=bush1; q=1; x=5; y=13;
[Item] ID=grass_tall1; q=1; x=5; y=15;
[Item] ID=grass_tall1; q=1; x=5; y=16;
[Item] ID=grass_tall1; q=1; x=6; y=2;
[Item] ID=grass_tall1; q=1; x=6; y=3;
[Item] ID=grass_tall1; q=1; x=6; y=5;
[Item] ID=grass_tall1; q=1; x=6; y=11;
[Item] ID=grass_tall1; q=1; x=6; y=12;
[Item] ID=grass_mid1; q=1; x=6; y=13;
[Item] ID=grass_mid1; q=1; x=7; y=4;
[Item] ID=grass_tall1; q=1; x=7; y=11;
[Item] ID=grass_mid1; q=1; x=7; y=12;
[Item] ID=bush2; q=1; x=8; y=1;
[Item] ID=bush1; q=1; x=8; y=10;
[Item] ID=bush2; q=1; r=-360; x=9; y=0;
[Item] ID=grass_tall1; q=1; x=9; y=1;
[Item] ID=pebbles1; q=1; r=-360; x=9; y=22;
[Item] ID=rubble; q=1; r=-360; x=10; y=11;
[Item] ID=pebbles2; q=1; x=10; y=16;
[Item] ID=bush2; q=1; x=10; y=23;
[Item] ID=plant_small3; q=1; x=10; y=23;
[Item] ID=wall1_style6; q=1; x=11; y=5;
[Item] ID=roof2_back; q=1; x=11; y=5;
[Item] ID=wall4_style6; q=1; x=11; y=6;
[Item] ID=roof2_top; q=1; x=11; y=6;
[Item] ID=wall4_style6; q=1; x=11; y=7;
[Item] ID=roof2; q=1; x=11; y=7;
[Item] ID=wall4_style6; q=1; x=11; y=8;
[Item] ID=cantBlackenTile; q=1; x=11; y=8;
[Item] ID=roof2; q=1; x=11; y=8;
[Item] ID=wall1_style6; q=1; x=11; y=9;
[Item] ID=cantBlackenTile; q=1; x=11; y=9;
[Item] ID=wall4_style6; q=1; x=11; y=10;
[Item] ID=cantBlackenTile; q=1; x=11; y=10;
[Item] ID=rocks1; q=2; r=-360; x=12; y=4;
[Item] ID=wall2_style6; q=1; x=12; y=5;
[Item] ID=roof2_back; q=1; x=12; y=5;
[Item] ID=roof2_top; q=1; x=12; y=6;
[Item] ID=smallBed; q=1; x=12; y=6;
[Item] ID=roof2; q=1; x=12; y=7;
[Item] ID=smallBed_btm; q=1; x=12; y=7;
[Item] ID=roof2; q=1; x=12; y=8;
[Item] ID=wall2_style6_roof; q=1; x=12; y=9;
[Item] ID=bin_clothes1; q=1; x=12; y=9;
[Item] ID=wall5_style6; q=1; x=12; y=10;
[Item] ID=cantBlackenTile; q=1; x=12; y=10;
[Item] ID=wall1_style6; q=1; x=12; y=19;
[Item] ID=roof2_back; q=1; x=12; y=19;
[Item] ID=wall4_style6; q=1; x=12; y=20;
[Item] ID=roof2_top; q=1; x=12; y=20;
[Item] ID=wall4_style6; q=1; x=12; y=21;
[Item] ID=roof2; q=1; x=12; y=21;
[Item] ID=wall4_style6; q=1; x=12; y=22;
[Item] ID=roof2; q=1; x=12; y=22;
[Item] ID=cantBlackenTile; q=1; x=12; y=22;
[Item] ID=wall3_style6; q=1; r=-360; x=12; y=23;
[Item] ID=cantBlackenTile; q=1; x=12; y=23;
[Item] ID=pebbles2; q=1; x=13; y=3;
[Item] ID=wall2_style6; q=1; x=13; y=5;
[Item] ID=roof2_back; q=1; x=13; y=5;
[Item] ID=roof2_top; q=1; x=13; y=6;
[Item] ID=roof2; q=1; x=13; y=7;
[Item] ID=roof2; q=1; x=13; y=8;
[Item] ID=wall2_style6_roof; q=1; x=13; y=9;
[Item] ID=wall5_style6; q=1; x=13; y=10;
[Item] ID=cantBlackenTile; q=1; x=13; y=10;
[Item] ID=wall2_style6; q=1; x=13; y=19;
[Item] ID=roof2_back; q=1; x=13; y=19;
[Item] ID=posters; q=1; oX=0; oY=6; x=13; y=19;
[Item] ID=roof2_top; q=1; x=13; y=20;
[Item] ID=roof2; q=1; x=13; y=21;
[Item] ID=roof2; q=1; x=13; y=22;
[Item] ID=wall5_style6; q=1; r=-360; x=13; y=23;
[Item] ID=roof2; q=1; x=13; y=23;
[Item] ID=cantBlackenTile; q=1; x=13; y=23;
[Item] ID=wall6_style6; q=1; r=-360; x=13; y=24;
[Item] ID=cantBlackenTile; q=1; x=13; y=24;
[Item] ID=dirt_sandy1; q=1; r=360; x=14; y=4;
[Item] ID=wall2_style6; q=1; x=14; y=5;
[Item] ID=roof2_back; q=1; x=14; y=5;
[Item] ID=lamp_wall; q=1; x=14; y=5;
[Item] ID=roof2_top; q=1; x=14; y=6;
[Item] ID=table_small; q=1; x=14; y=6;
[Item] ID=roof2; q=1; x=14; y=7;
[Item] ID=roof2; q=1; x=14; y=8;
[Item] ID=wall2_style6_roof; q=1; x=14; y=9;
[Item] ID=wall5_style6; q=1; x=14; y=10;
[Item] ID=cantBlackenTile; q=1; x=14; y=10;
[Item] ID=wall2_style6; q=1; x=14; y=19;
[Item] ID=roof2_back; q=1; x=14; y=19;
[Item] ID=roof2_top; q=1; x=14; y=20;
[Item] ID=roof2; q=1; x=14; y=21;
[Item] ID=table_left; q=1; x=14; y=21;
[Item] ID=roof2; q=1; x=14; y=22;
[Item] ID=roof2; q=1; x=14; y=23;
[Item] ID=door_closed_wood_shoddy; q=1; r=360; x=14; y=24;
[Item] ID=cantBlackenTile; q=1; x=14; y=24;
[Item] ID=gravestone2; q=1; x=15; y=3;
[Item] ID=bush_flowers1; q=1; x=15; y=4;
[Item] ID=tile_cantTarget_peaceful; q=1; x=15; y=4;
[Item] ID=wall2_style6; q=1; x=15; y=5;
[Item] ID=roof2_back; q=1; x=15; y=5;
[Item] ID=roof2_top; q=1; x=15; y=6;
[Item] ID=stool; q=1; x=15; y=6;
[Item] ID=roof2; q=1; x=15; y=7;
[Item] ID=roof2; q=1; x=15; y=8;
[Item] ID=wall2_style6_roof; q=1; x=15; y=9;
[Item] ID=door_closed_wood_shoddy; q=1; x=15; y=10;
[Item] ID=cantBlackenTile; q=1; x=15; y=10;
[Item] ID=dirt_sandy1; q=1; x=15; y=11;
[Item] ID=pebbles1; q=1; x=15; y=18;
[Item] ID=wall2_style6; q=1; x=15; y=19;
[Item] ID=roof2_back; q=1; x=15; y=19;
[Item] ID=roof2_top; q=1; x=15; y=20;
[Item] ID=rope_pile_huge2; q=1; x=15; y=20;
[Item] ID=roof2; q=1; x=15; y=21;
[Item] ID=table_mid; q=1; x=15; y=21;
[Item] ID=lamp; q=-2; x=15; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=15; y=21;
[Item] ID=roof2; q=1; x=15; y=22;
[Item] ID=barrel_broken; q=1; r=-360; x=15; y=22; containerID=0;
[Item] ID=wall5_style6; q=1; x=15; y=23;
[Item] ID=cantBlackenTile; q=1; x=15; y=23;
[Item] ID=cantBlackenTile; q=1; x=15; y=23;
[Item] ID=roof2; q=1; x=15; y=23;
[Item] ID=wall6_style6; q=1; x=15; y=24;
[Item] ID=cantBlackenTile; q=1; x=15; y=24;
[Item] ID=fade_s6; q=1; r=180; x=15; y=24;
[Item] ID=rocks1; q=1; x=16; y=2;
[Item] ID=rocks1; q=2; x=16; y=4;
[Item] ID=wall2_style6; q=1; x=16; y=5;
[Item] ID=roof2_back; q=1; x=16; y=5;
[Item] ID=roof2_top; q=1; x=16; y=6;
[Item] ID=roof2; q=1; x=16; y=7;
[Item] ID=roof2; q=1; x=16; y=8;
[Item] ID=urn_empty1; q=1; x=16; y=8;
[Item] ID=wall5_style6; q=1; x=16; y=9;
[Item] ID=cantBlackenTile; q=1; x=16; y=9;
[Item] ID=cantBlackenTile; q=1; x=16; y=9;
[Item] ID=wall6_style6; q=1; x=16; y=10;
[Item] ID=cantBlackenTile; q=1; x=16; y=10;
[Item] ID=fade_s6; q=1; r=180; x=16; y=10;
[Item] ID=dirt_sandy2; q=1; r=90; x=16; y=12;
[Item] ID=dirt_sandy2; q=2; r=180; x=16; y=13;
[Item] ID=wall3_style6; q=1; x=16; y=19;
[Item] ID=roof2_back; q=1; x=16; y=19;
[Item] ID=fade_s6; q=1; r=180; x=16; y=19;
[Item] ID=wall6_style6; q=1; x=16; y=20;
[Item] ID=roof2_top; q=1; x=16; y=20;
[Item] ID=fade_s6; q=1; r=180; x=16; y=20;
[Item] ID=wall6_style6; q=1; x=16; y=21;
[Item] ID=roof2; q=1; x=16; y=21;
[Item] ID=fade_s6; q=1; r=180; x=16; y=21;
[Item] ID=wall6_style6; q=1; x=16; y=22;
[Item] ID=roof2; q=1; x=16; y=22;
[Item] ID=fade_s6; q=1; r=180; x=16; y=22;
[Item] ID=cantBlackenTile; q=1; x=16; y=22;
[Item] ID=wall3_style6; q=1; x=16; y=23;
[Item] ID=cantBlackenTile; q=1; x=16; y=23;
[Item] ID=fade_s6; q=1; r=180; x=16; y=23;
[Item] ID=dirt_sandy1; q=1; x=16; y=24;
[Item] ID=fade_s1; q=1; x=16; y=24;
[Item] ID=pebbles1; q=1; r=-360; x=16; y=25;
[Item] ID=gravestone2; q=1; x=17; y=2;
[Item] ID=bush_flowers1; q=1; x=17; y=3;
[Item] ID=tile_cantTarget_peaceful; q=1; x=17; y=3;
[Item] ID=wall3_style6; q=1; x=17; y=5;
[Item] ID=roof2_back; q=1; x=17; y=5;
[Item] ID=fade_s6; q=1; r=180; x=17; y=5;
[Item] ID=wall6_style6; q=1; x=17; y=6;
[Item] ID=roof2_top; q=1; x=17; y=6;
[Item] ID=fade_s6; q=1; r=180; x=17; y=6;
[Item] ID=wall6_style6; q=1; x=17; y=7;
[Item] ID=roof2; q=1; x=17; y=7;
[Item] ID=fade_s6; q=1; r=180; x=17; y=7;
[Item] ID=wall6_style6; q=1; x=17; y=8;
[Item] ID=cantBlackenTile; q=1; x=17; y=8;
[Item] ID=roof2; q=1; x=17; y=8;
[Item] ID=fade_s6; q=1; r=180; x=17; y=8;
[Item] ID=wall3_style6; q=1; x=17; y=9;
[Item] ID=cantBlackenTile; q=1; x=17; y=9;
[Item] ID=fade_s6; q=1; r=180; x=17; y=9;
[Item] ID=fade_s1; q=1; x=17; y=10;
[Item] ID=dirt_sandy1; q=1; x=17; y=14;
[Item] ID=rocks1; q=2; x=17; y=16;
